title,authors,year,source,paper,citations no.
Thyroid Detection And Classification Using Dnn Based On Hybrid Meta-Heuristic And Lstm Technique,"E Mohan, P Saravanan, B Natarajan, SVA Kumer…",2023,https://ieeexplore.ieee.org/abstract/document/10163762/,https://ieeexplore.ieee.org/iel7/6287639/6514899/10163762.pdf,
A review of feature selection methods based on meta-heuristic algorithms,"Z Sadeghian, E Akbari, H Nematzadeh…",2023,https://www.tandfonline.com/doi/abs/10.1080/0952813X.2023.2183267,http://zeus.inf.ucv.cl/~bcrawford/ALGORITMOS-BIOINSPIRADOS/Papers/A%20review%20of%20feature%20selection%20methods%20based%20on%20meta%20heuristic%20algorithms.pdf,3
A comparison performance analysis of eight meta-heuristic algorithms for optimal design of truss structures with static constraints,"N Khodadadi, AÖ Çiftçioğlu, S Mirjalili…",2023,https://www.sciencedirect.com/science/article/pii/S2772662223001066,https://www.sciencedirect.com/science/article/pii/S2772662223001066,3
Tuning of controller parameters for suppressing low frequency oscillations in electric railway traction networks using meta‐heuristic algorithms,"P Dey, P Kirawanich, C Sumpavakup…",2023,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/els2.12075,https://ietresearch.onlinelibrary.wiley.com/doi/pdf/10.1049/els2.12075,
Making Decision on Selection of Optimal Stock Portfolio Em-ploying Meta Heuristic Algorithms for Multi-Objective Func-tions Subject to Real-Life Constraints,"A Sepehri, HG Ghazaani, H Jabbari, H Panahian",2023,https://journals.iau.ir/article_679771_1a3af6bec643d64a878925df137b5e8c.pdf,https://journals.iau.ir/article_679771_1a3af6bec643d64a878925df137b5e8c.pdf,
A meta-heuristic optimization-based method for parameter estimation of an electric arc furnace model,"JJ Marulanda-Durango, CD Zuluaga-Ríos",2023,https://www.sciencedirect.com/science/article/pii/S2590123022005205,https://www.sciencedirect.com/science/article/pii/S2590123022005205,4
Beautiful Mind: a meta-heuristic algorithm for generating minimal covering array,"S Esfandyari, V Rafe, E Pira",2023,https://www.researchsquare.com/article/rs-3195308/latest,https://www.researchsquare.com/article/rs-3195308/latest.pdf,
Wind farm layout optimization approach using bio-inspired meta-heuristic algorithm to minimize wake effect,"S Pranupa, AT Sriram, S Nagaraja Rao",2023,https://link.springer.com/article/10.1007/s40435-023-01172-y,,1
An optimized algorithm for resource utilization in cloud computing based on the hybridization of meta-heuristic algorithms,"F Jamal, T Siddiqui",2023,https://link.springer.com/article/10.1007/s41870-023-01549-4,,
A comparative analysis of the performance of multiple meta-heuristic algorithms in sizing hybrid energy systems connected to an unreliable grid,"SA Adetoro, L Olatomiwa, J Tsado…",2023,https://www.sciencedirect.com/science/article/pii/S2772671123000359,https://www.sciencedirect.com/science/article/pii/S2772671123000359,2
A meta-heuristic-based energy efficient route modeling for EVs integrating start/stop and recapturing energy effect,"A Kumar, R Kumar, A Aggarwal, J Bedi",2023,https://www.sciencedirect.com/science/article/pii/S2210670723000318,,
Solving the multi‐objective bike routing problem by meta‐heuristic algorithms,"P Nunes, A Moura, J Santos",2023,https://onlinelibrary.wiley.com/doi/abs/10.1111/itor.13114,,8
Multi-Robot Exploration of Unknown Space Using Combined Meta-Heuristic Salp Swarm Algorithm and Deterministic Coordinated Multi-Robot Exploration,"AE Romeh, S Mirjalili",2023,https://www.mdpi.com/1424-8220/23/4/2156,https://www.mdpi.com/1424-8220/23/4/2156,9
Evaluating the performance of meta-heuristic algorithms on CEC 2021 benchmark problems,"AW Mohamed, KM Sallam, P Agrawal, AA Hadi…",2023,https://link.springer.com/article/10.1007/s00521-022-07788-z,https://link.springer.com/article/10.1007/s00521-022-07788-z,5
Enhancing Two-Phase Supply Chain Network Distribution via Three Meta-Heuristic Optimization Algorithms Subsidized by Mathematical Procedures,"AM Abed, LF Seddek, A AlArjani",2023,https://www.worldscientific.com/doi/abs/10.1142/S0219686723500221,https://www.worldscientific.com/doi/pdf/10.1142/S0219686723500221,4
A new meta-heuristic algorithm of giant trevally for solving engineering problems,M Aliyari,2023,https://jac.ut.ac.ir/article_92495.html,https://jac.ut.ac.ir/article_92495_eeac87bc0237b1b5b616ecb672b87c86.pdf,
Bio-communal wastewater treatment plant real-time modeling using an intelligent meta-heuristic approach: A sustainable and green ecosystem,"SI Abba, HC KILINC, ML Tan, V Demir…",2023,https://www.sciencedirect.com/science/article/pii/S2214714423002507,,1
ODDTCN energy modeling: a meta-heuristic-aided energy performance designing and consumption forecasting in existing building environment,"L Gupta, RL Sharma",2023,https://link.springer.com/article/10.1007/s42107-023-00907-8,,
Health monitoring of pressurized pipelines by finite element method using meta-heuristic algorithms along with error sensitivity assessment,"A Jahan, M Mollazadeh, A Akbarpour…",2023,https://koreascience.kr/article/JAKO202322643266894.page,,
Designing and explaining the portfolio optimization model using censored models and meta-heuristic algorithm,"Z Kazemi, G Zomorodian…",2023,https://ijnaa.semnan.ac.ir/article_7990.html,https://ijnaa.semnan.ac.ir/article_7990_50db8ea025ce4e41ec8c5018281b3b04.pdf,
Harmonic Mitigation Using Meta-Heuristic Optimization for Shunt Adaptive Power Filters: A Review,"ML Duc, L Hlavaty, P Bilik, R Martinek",2023,https://www.mdpi.com/1996-1073/16/10/3998,https://www.mdpi.com/1996-1073/16/10/3998/pdf,1
Comparison of three chaotic meta-heuristic algorithms for the optimal design of truss structures with frequency constraints,"A Kaveh, H Yousefpour",2023,https://pp.bme.hu/ci/article/view/22594,https://pp.bme.hu/ci/article/download/22594/9837,2
An application of meta‐heuristic and nature‐inspired algorithms for designing reliable networks based on the Internet of things: A systematic literature review,J Gong,2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/dac.5416,,
Many‑objective meta-heuristic methods for solving constrained truss optimisation problems: A comparative analysis,"N Panagant, S Kumar, GG Tejani, N Pholdee…",2023,https://www.sciencedirect.com/science/article/pii/S2215016123001814,https://www.sciencedirect.com/science/article/pii/S2215016123001814,4
Categorical Data Clustering using Meta Heuristic Link-Based Ensemble Method: Data Clustering using Soft Computing Techniques,"KNG Veerappan, Y Natarajan, A Raja…",2023,https://www.igi-global.com/chapter/categorical-data-clustering-using-meta-heuristic-link-based-ensemble-method/326197,,4
Multimodal Medical Image Fusion with Improved Multi-Objective Meta-Heuristic Algorithm with Fuzzy Entropy,"N Nagaraja Kumar, T Jayachandra Prasad…",2023,https://www.worldscientific.com/doi/abs/10.1142/S0219649222500630,,2
A new robust hybrid model based on support vector machine and firefly meta-heuristic algorithm to predict pistachio yields and select effective soil variables,"J Seyedmohammadi, A Zeinadini, MN Navidi…",2023,https://www.sciencedirect.com/science/article/pii/S1574954123000316,,7
Hybrid meta-heuristic algorithms for optimising a sustainable agricultural supply chain network considering CO2 emissions and water consumption,"F Goodarzian, D Shishebori, F Bahrami…",2023,https://www.tandfonline.com/doi/abs/10.1080/23302674.2021.2009932,http://www.softcomputing.net/fariba-jss.pdf,20
