,Name,Website,Description,Tags,Country,Computer,Phone,TwitterUsername
0,Joe Astuccio,https://astucc.io/uses,"Front End Developer, Sailor, Stargazer, Hockey Player, and all around fun guy... but my absolute favorite thing is being a dad.","Front End, HTML, CSS, SCSS, Styled Components, JavaScript, TypeScript, React, Gatsby, JAMstack, Serverless",🇺🇸,apple,iphone,https://twitter.com/jastuccio
1,Raúl Piracés,https://piraces.dev/uses,Full Stack and passionate Software Engineer.,"Web Development, Developer, Full Stack, .NET, Azure, Vue.js, Angular, C#, Python, PowerShell, Node.js, CSS, HTML, JavaScript, DevOps",🇪🇸,windows,iphone,https://twitter.com/piraces_
2,Carol Gilabert,http://carol.gg/uses/,Web developer and community organiser.,"Web Development, Front End, Accessibility, HTML, CSS, JavaScript, React, Node.js, IndieWeb",🇬🇧,apple,iphone,https://twitter.com/CarolSaysThings
3,Nathanaël Cherrier,https://mindsers.blog/fr/uses,"Full Stack JavaScript and Swift Developer, Software Caftsman, from Reunion Island based in Lyon, France","Developer, Blogger, Symfony, Angular, React, Gatsby, PHP, TypeScript, Full Stack, Swift, Node.js, JavaScript, CSS, Sass, VS Code, macOS, Linux, Docker, Kubernetes, DevOps",🇷🇪,apple,iphone,https://twitter.com/mindserscodes
4,Roberto Vázquez González,https://robertovg.com/uses/,"Javascript Engineer (10+ years experience) && CorkerSpace Co-founder, 💛js (^es6),🏄‍🧘‍🎸.","Developer, Javascript Engineer, Front End, Learner, Entrepreneur, React, Next.js, Gatsby, GraphQL, Styled-Components, Node.js, CSS, Vue.js",🇪🇸,apple,iphone,
5,Kelvin Mai,https://kelvinmai.io/uses,"Self Taught Full Stack developer, youtuber, full time nerd and aspiring functional programming polyglot","Youtuber, Engineer, Web Developer, Software Engineer, Full Stack, Front End, Node.js, GraphQL, React, Angular, JavaScript, TypeScript, Clojure, ClojureScript, Linux",🇺🇸,linux,android,https://twitter.com/kelvinmai
6,Cory Dramsfeldt,https://coryd.dev/uses,Web developer based in Southern California with over 10 years of professional experience.,"Developer, Programmer, Web Developer, TypeScript, JavaScript, React, HTML, CSS, Node.js",🇺🇸,apple,iphone,https://twitter.com/cdransf
7,Scott Zirkel,https://scottzirkel.com/uses,Making stuff up since 1977,"Bald, Drawing, Design, Development, Branding, Neovim, SaaS, PHP, Laravel, React, Next.js, TailWindCSS, InertiaJS, Writing, Comics, Illustrator, Artist, Traveler, Adventurer",🇺🇸,apple,iphone,https://twitter.com/scottzirkel
8,Juanito Fatas,https://juanitofatas.com/uses,Program Tinker 🧙🏼‍♂️,"Think, Apply",🇯🇵,apple,iphone,https://twitter.com/juanitofatas
9,Filip Pacurar,https://pacurar.dev/uses/,"Loving husband, father of Joshua and Caleb, proud christian and enthusiast senior software developer, former CTO","Full Stack, Developer, Problem Solver, JavaScript, React, Node.js, GraphQL, REST, PHP, MySQL",🇷🇴,apple,iphone,https://twitter.com/filipacro
10,David Morales,https://davidmles.com/uses,Computer Engineer. Web Developer. Teacher at ninjadevel.com,"Engineer, Developer, Full Stack, Entrepreneur, Writer, Teacher, Youtuber, JavaScript, TypeScript, Vue.js, Ruby, PHP, WordPress, HTML, CSS, TailWindCSS",🇪🇸,apple,iphone,https://twitter.com/davidmles
11,Esmit Perez,https://esmit.me/uses,"Software Developer, every day ☕️, sometimes 💡. Pura Vida 🇨🇷.","Developer, Java, TypeScript, Angular, CSS, Kotlin, Flutter, SQL",🇺🇸,apple,android,https://twitter.com/mitiwifi
12,Yurui Zhang,https://gist.github.com/pallymore/6e12133b5c2fa2856a8a6b288e579c01,Full-stack developer. Dark mode enthusiast. Quality software devotee.,"Developer, Full Stack, JavaScript, TypeScript, React, Node.js, CSS, Ruby, Testing",🇨🇳,apple,iphone,https://twitter.com/yuruiology
13,Jacopo DP.,https://shish.cat/uses/,"Student and PHP, Javascript developer. Learning cybersecurity","Student, Backend, JavaScript, Node.js, Express.js, PHP, ReactPHP, AmpPHP, Web dev, Ethical Hacker, Git, Linux",🇮🇹,linux,android,https://twitter.com/shishcat8214
14,Aris Ripandi,https://ripandis.com/uses,Software engineer & educator. Open Source enthusiast.,"Developer, Laravel, TypeScript, PHP, JAMstack, Next.js, Node.js, React, TailWindCSS, PostgreSQL, Metabase",🇮🇩,apple,iphone,https://twitter.com/riipandi
15,Sagar Soni,https://sagarsoni.dev/uses/,"Full Stack JS, PHP and WordPress Developer in day. Android & Linux enthusiast by night","WordPress, React, Node.js, DevOps, Electron, Developer, Backend, PHP, Full Stack, JavaScript",🇮🇳,linux,android,https://twitter.com/saagarsoni
16,Michal Kolacek,https://michalkolacek.xyz/uses,Analytics Engineer,"Engineer, dbt, SQL, Python, JavaScript",🇨🇿,apple,android,https://twitter.com/kolacek_m
17,Wes Bos,https://wesbos.com/uses,"Maker of this site. Web Developer, Tutorial Maker, Syntax.fm Podcaster, BBQ Lover","Developer, Full Stack, Entrepreneur, Teacher, Youtuber, JavaScript, React, Node.js, CSS",🇨🇦,apple,iphone,https://twitter.com/wesbos
18,Russell John,https://russelljohn.net/uses/,Professional Linux system administrator and highly experienced webmaster.,"Linux, System Administrator, Ubuntu, Debian, Cloud, Security, Freelancer, WordPress, MySQL, HTML, CSS, Photographer",🇧🇩,linux,android,https://twitter.com/Ekushey
19,Socheat Sok,https://socheat.dev/uses/,"🇰🇭👨🏻‍💻 Full-Stack Developer | DevOps | 🤵 Husband | 🎉 Work with @vuejs, @reactjs, @laravel, @flutter, @docker, @github","Full Stack, DevOps, JavaScript, PHP, Go, Vue.js, Docker, Flutter, Laravel, Web Developer",🇰🇭,apple,iphone,https://twitter.com/socheatsok78
20,Manuel Fernandez,https://github.com/teamhanded/uses,Security Engineer,"Security, Malware, Go, Cloud",🇦🇷,apple,iphone,
21,Laura Zumbakyte,https://desinni.dev/uses,"Front-end engineer, and a healthy lifestyle enthusiast.","Developer, Web, Front End, CSS, HTML, JavaScript, React, TailWindCSS, UI, GraphQL, UX, Canva",🇱🇹,apple,iphone,https://twitter.com/desinni
